sec_name,hold_stocks,holding_marketvalue,publish_ratio,calculate_ratio,change_holdstocks,float_sharesratio,code,date
欧派家居,37258461.0,4933020236.400001,6.24,6.247661463331873,-67750.0,26.316152816202116,603833.SH,2020-11-13
好太太,785999.0,11758545.040000001,1.1,1.1054060895858238,-50009.0,1.617115523094332,603848.SH,2020-11-13
步长制药,27541703.0,660450037.94,2.41,2.412593798347714,-262463.0,5.030699847176826,603858.SH,2020-11-13
白云电器,1792.0,15841.279999999999,0.0,0.0004341275391416003,0.0,0.0019222817003212388,603861.SH,2020-11-13
桃李面包,14905716.0,909844904.64,2.19,2.1915249261187233,-26438.0,5.847411750750396,603866.SH,2020-11-13
飞科电器,4018449.0,208236027.18,0.92,0.922508953168044,-113466.0,9.216626146788991,603868.SH,2020-11-13
嘉友国际,1207306.0,30279234.479999997,2.19,2.1999016034985424,37577.0,2.1999016034985424,603871.SH,2020-11-13
鼎胜新材,4334018.0,56385574.18,1.81,1.811462397425584,-196690.0,3.5585386871487006,603876.SH,2020-11-13
太平鸟,6347760.0,242293999.20000002,1.33,1.3315271593460074,0.0,10.073524592596378,603877.SH,2020-11-13
数据港,2742192.0,204567523.2,1.3,1.3021688929853,-89100.0,3.053846944624569,603881.SH,2020-11-13
金域医学,46703859.0,4025872645.8,10.16,10.16433552021799,-26360.0,19.617991720236546,603882.SH,2020-11-13
老百姓,27750982.0,1964769525.6,7.26,7.260777471557657,26260.0,16.0011109855733,603883.SH,2020-11-13
吉祥航空,13642423.0,158115682.57,0.75,0.7591719914519038,-538476.0,2.5404246977585627,603885.SH,2020-11-13
新华网,3867764.0,71785699.83999999,0.74,0.7451917556263098,55503.0,2.0032033528253597,603888.SH,2020-11-13
天永智能,808.0,15812.56,0.0,0.0024658850299415815,0.0,0.002805232174624314,603895.SH,2020-11-13
长城科技,31280.0,641240.0,0.05,0.056319373048706114,0.0,0.056319373048706114,603897.SH,2020-11-13
好莱客,1618626.0,26464535.1,0.51,0.5199975773243911,0.0,1.5655782442322992,603898.SH,2020-11-13
晨光文具,33584655.0,2811035623.5,3.65,3.6505059782608695,208161.0,11.043043156596793,603899.SH,2020-11-13
国茂股份,9093271.0,214146532.05,7.27,7.278844352800106,-380900.0,7.278844352800107,603915.SH,2020-11-13
世运电路,3921565.0,126274393.00000001,0.96,0.9684227552732665,193351.0,2.9855043547444233,603920.SH,2020-11-13
中科软,1087688.0,44714853.68,0.33,0.335097866786022,73300.0,0.41684231697136054,603927.SH,2020-11-13
亚翔集成,749620.0,10374740.8,0.35,0.35134045744281966,72124.0,1.0260333972077744,603929.SH,2020-11-13
益丰药房,56391982.0,6110635169.5199995,10.95,10.958035918728433,-1289960.0,27.231588513684095,603939.SH,2020-11-13
威派格,995129.0,18181006.83,1.13,1.132629031835839,-239699.0,1.6673333739361553,603956.SH,2020-11-13
百利科技,9742.0,136485.41999999998,0.0,0.0022189322157434403,0.0,0.004350955521997648,603959.SH,2020-11-13
克来机电,6102380.0,231829416.20000002,2.39,2.3933114600692984,-100895.0,3.9104530988366157,603960.SH,2020-11-13
金诚信,191567.0,2302635.34,0.03,0.032835829839360293,0.0,0.06838419844566283,603979.SH,2020-11-13
泉峰汽车,498202.0,9166916.799999999,0.61,0.6117411591355599,-12700.0,0.7245910451174504,603982.SH,2020-11-13
丸美股份,2226191.0,136754913.13,2.89,2.8911571428571428,-33800.0,4.590368476400601,603983.SH,2020-11-13
兆易创新,14292596.0,2960711261.4,3.42,3.419721763879035,-51578.0,4.522553779115957,603986.SH,2020-11-13
艾华集团,5059801.0,139802301.63,1.27,1.2771949059495873,116673.0,3.7317843409940683,603989.SH,2020-11-13
洛阳钼业,286440578.0,1246016514.3,1.62,1.6214438211190685,9426439.0,4.090388356419277,603993.SH,2020-11-13
继峰股份,2429640.0,20724829.2,0.38,0.38422192151128176,-162045.0,1.5876699825591156,603997.SH,2020-11-13
德利股份,743179.0,21388691.62,3.71,3.715895,-689100.0,3.715895,605198.SH,2020-11-13
