open,high,low,close,volume,amt,dealnum,pct_chg,swing,vwap,adjfactor,turn,free_turn_n,maxup,maxdown,maxupordown,open_auction_price,open_auction_volume,open_auction_amount,ev,mkt_cap_ard,pe_ttm,val_pe_deducted_ttm,pb_lf,pb_mrq,ps_ttm,ps_lyr,pcf_ocf_ttm,pcf_ncf_ttm,pcf_ocflyr,pcf_nflyr,ev2,ev2_to_ebitda,mkt_freeshares,code,date
49.66,51.88,48.88,50.94,6261232.0,316675543.0,17596.0,2.929884825217198,6.061830672863205,50.57719359384862,3.9928,1.7026541970427642,4.6992,54.44,44.54,0.0,49.66,21200.0,1052792.0,20054083632.258713,21808788514.019997,16.689579010009766,17.23976721197645,1.6090116500854492,1.6090116845674496,0.38909296543468447,0.4190309984495678,7.492531171025853,-25.141286849975586,10.902474967862698,27.586515326555222,17069789619.008713,7.644403522233356,6787215239.759999,000028.SZ,2020-11-13
8.87,9.15,8.72,8.91,30447383.0,271788203.0,21696.0,-0.779510022271719,4.788418708240531,8.926488132001362,2.234807,3.414685306058363,12.2389,9.88,8.08,0.0,8.87,224200.0,1988653.9999999998,8305779240.0,9013890600.0,28.911516189575195,31.816783879310897,2.4362869262695312,2.4362869366357334,4.8386295741790555,3.5366061152136794,-26.44159543782386,10.46744155883789,14.933358587704193,25.13161915314237,5900454765.74,7.957802664252607,2216591825.58,000029.SZ,2020-11-13
8.88,8.99,8.11,8.22,24506663.0,204234026.0,27072.0,-4.750869061413672,10.196987253765942,8.33381623601712,3.407873,1.3925182901726751,4.4383,9.49,7.77,0.0,8.88,272160.0,2416780.8000000003,14630287189.35786,14882738352.42,15.373173713684082,15.915683567720775,2.1068482398986816,2.1068482690276245,1.3148380460909426,1.4788376639666017,24.89072584742234,216.02378845214844,40.645404242744675,-68.86484136972197,13681213973.307861,11.111647587563809,4538786740.14,000030.SZ,2020-11-13
4.72,4.76,4.68,4.75,5085244.0,24002897.0,4706.0,-0.2100840336134313,1.6806722689075646,4.720107235758992,14.651032,0.2803834268962763,0.5318,5.24,4.28,0.0,4.72,11800.0,55695.99999999999,20359988360.25,20359988360.250004,28.94318199157715,39.81660671251153,1.0546420812606812,1.0546420238577463,0.6958714530729329,0.6026050084485857,2.623755243506252,1.7281736135482788,5.008616621446092,2.545362980771467,62947947049.4,7.117206321630995,4542523885.5,000031.SZ,2020-11-13
19.95,20.2,19.45,20.01,1382918.0,27420109.0,3127.0,0.2505010020040083,3.75751503006012,19.827718635522857,4.163475,0.33612954849955085,0.8317,21.96,17.96,0.0,19.95,2600.0,51869.99999999999,8268525416.610001,8268525416.610001,65.37661743164062,68.75660864207404,5.451476573944092,5.4514767381323335,5.905805706466555,5.508215070142273,-120.0463423393469,286.5505065917969,112.2169716850252,-157.6566857107127,7505753550.080001,35.401161435161214,3327099298.2900004,000032.SZ,2020-11-13
33.96,34.78,32.22,32.22,74502920.0,2470229299.0,89344.0,-10.0,7.150837988826823,33.156140712337184,3.04188,15.144629681573711,19.8034,39.38,32.22,-1.0,33.96,3287500.0,111643500.0,21074149383.48,21074149383.48,36.033992767333984,33.812635939601236,4.702477931976318,4.702477807891223,0.24080581113990132,0.24278029564523068,11.059317416864184,16.660236358642578,14.052911483024477,10.051323172061347,28730177065.23,20.56968984663095,12121559951.58,000034.SZ,2020-11-13
4.55,4.55,4.47,4.51,5750928.0,25918992.0,3093.0,-1.3129102844639078,1.7505470459518617,4.50692340436187,4.611586,0.23441167543138453,0.3102,5.03,4.11,0.0,4.55,59300.0,269815.0,11382235609.47,11382235609.47,13.9007568359375,16.237338913724965,1.0057175159454346,1.0057175264217415,0.5233869784555901,0.6123730465504112,3.8485150921576925,26.3575439453125,4.742209850907572,4.630590841214267,29403610676.6,8.575505243562155,8361308614.45,000035.SZ,2020-11-13
4.14,4.14,4.07,4.11,6660892.999999999,27251882.0,2772.0,-0.7246376811594014,1.6908212560386326,4.091325592529411,11.911773,0.45022021772961623,0.6751,4.55,3.73,0.0,4.14,15200.0,62928.0,6098968842.75,6098968842.75,8.229117393493652,8.481471417860586,1.2481777667999268,1.2481778237674388,1.772956578920837,1.924800061528783,-9.5132346785504,-10.930950164794922,4.070896389565408,7.357793462379541,3404513772.59,2.6441292480187175,4054953413.7000003,000036.SZ,2020-11-13
11.88,11.94,11.6,11.7,5092601.0,59591177.0,8482.0,-1.5979814970563733,2.859545836837677,11.701520892761872,5.668325,1.502712008681676,2.5448,13.08,10.7,0.0,11.88,24200.0,287496.0,4901282643.626864,7052322373.2,48.802337646484375,78.01205970272096,3.328375816345215,3.328375849373678,5.8296981093956965,5.768403026464803,21.3725247836349,-95.78617095947266,34.75010618107559,-49.15654127900673,4756568558.996864,29.882601830445704,2341416366.9,000037.SZ,2020-11-13
11.42,11.42,11.13,11.19,3982260.0,44718179.0,6449.0,-1.8421052631578987,2.5438596491227994,11.229346903517099,2.923775,1.671968262588992,2.5536,12.54,10.26,0.0,11.42,7000.0,79940.0,5849879318.61,5849879318.61,27.256858825683594,65.95216707994038,2.0521273612976074,2.05212746551135,3.6361876025679405,3.188212490475291,-7.465820032529899,-16.356508255004883,-10.129963846497377,-11.217936110159263,4901354938.82,34.38435109722339,1745028321.03,000038.SZ,2020-11-13
14.03,14.59,13.68,14.49,47102586.0,670725904.0,38929.0,0.0,6.280193236714977,14.239683230980141,30.845043,3.07002953586906,4.6376,15.94,13.04,0.0,14.03,765100.0,10734353.0,43163388415.76274,52091746919.1,32.48708724975586,50.198413362313616,1.483009934425354,1.483009925758042,0.5936582751683978,0.6070213823306954,4.1837054049749645,7.524381637573242,14.721329108311322,-27.813891272102467,93558268415.76274,9.962584077179162,14716988979.839998,000039.SZ,2020-11-13
3.25,3.26,3.21,3.22,15356262.0,49474625.0,6368.0,-1.2269938650306698,1.5337423312883383,3.2217882841540475,4.348861,1.4482385175322945,1.6995,3.59,2.93,0.0,3.25,107400.0,349050.0,4787733861.400001,4787733861.4,-3.89254093170166,-3.706173236447609,0.3623713552951813,0.36237135001791304,1.6389428443629834,0.7034824508018699,-12.142979183483815,-0.9022575616836548,8.249295512018486,-0.7057696138143104,9834422317.44,102.71569939224622,2909572538.32,000040.SZ,2020-11-13
9.08,9.08,9.03,9.08,594200.0,5378806.0,549.0,-0.11001100110010073,0.5500550055005579,9.052181083810165,13.352797,0.0897120273213012,0.3018,10.0,8.18,0.0,,,,6036666742.12,6036666742.12,-147.7876739501953,-131.37395686524252,0.7795938849449158,0.7795938777411344,0.6619912269725992,0.8368956000567952,-4.4043623274971955,-14.065706253051758,-7.164410970751265,-3.0460357608664554,17949029803.53,9.270404541736564,1787833576.68,000042.SZ,2020-11-13
7.78,7.85,7.65,7.83,1849311.0,14373608.0,2121.0,0.5134788189987107,2.5673940949935723,7.772412536344617,2.927771,0.40464741210537425,0.8942,8.57,7.01,0.0,7.78,5700.0,44346.0,3719399099.2920003,3975856944.57,140.82452392578125,-257.73420699673744,1.4432013034820557,1.443201246400521,1.9973037811965246,1.8422226133599762,85.02329661309697,102.12104034423828,10.376877586375974,-4.596750905820137,3657477591.3320003,28.580224705149934,1619395948.9800003,000045.SZ,2020-11-13
3.9,3.9,3.82,3.83,8804141.0,33784510.0,5018.0,-2.0460358056266017,2.0460358056266,3.8373431320557,34.005673,0.17029026773542114,0.5919,4.3,3.52,0.0,3.9,15900.0,62010.0,19901448512.48,19901448512.48,-9.896693229675293,-37.20944102754345,0.973033607006073,0.9730335822483566,8.758806101069931,6.5780357598481505,6.339077394906946,8.37476921081543,3.571491127862197,69.93557034841645,111073196707.67,20.539544358643685,5696764497.42,000046.SZ,2020-11-13
30.7,30.85,30.0,30.1,1298654.0,39257412.0,3822.0,-1.7624020887728458,2.7741514360313366,30.229308191404332,6.258996,0.3227210011471676,1.1329,33.7,27.58,0.0,30.7,15400.0,472780.0,12115001103.1,12115001103.1,12.528879165649414,13.42199694796445,5.909145832061768,5.909145704736154,2.7619552484170096,2.463037695988269,7.170948538466967,13.75204849243164,11.949956683819204,49.878402345340476,9822496764.650002,6.368016958788874,3450335819.7000003,000048.SZ,2020-11-13
55.48,56.79,54.54,56.0,6124946.0,343742983.0,15585.0,0.9918845807033375,4.05770964833183,56.12179813503662,5.495036,2.984230388553925,5.4484,61.0,49.91,0.0,55.48,13734.0,761962.32,11603073328.0,11603073328.0,21.82718849182129,23.351828467493398,4.59263277053833,4.592632778016905,0.6215084768840085,0.6291422156527421,8.352406756650215,57.8417854309082,7.276616230400823,59.49598705810652,12321141425.63,11.632966546871982,6295335144.000001,000049.SZ,2020-11-13
14.53,14.68,14.4,14.65,8319528.999999999,121293894.0,9998.0,0.549073438572417,1.9217570350034276,14.579418378131745,8.372923,0.4548880866326586,0.9752,16.03,13.11,0.0,14.53,36300.0,527439.0,36006003233.65,36006003233.65,35.085670471191406,92.1396541509291,1.0800694227218628,1.0800693960738594,1.2187524061706478,1.189024464155186,6.278155988139795,-196.7501678466797,7.563236407382892,-77.4139012782659,57514250930.600006,11.244556467742168,12497604214.9,000050.SZ,2020-11-13
4.64,4.64,4.6,4.63,3953487.9999999995,18268537.0,2203.0,-0.43010752688173004,0.8602150537634415,4.620865676081476,9.782936,0.5828760315309776,0.7362,5.12,4.19,0.0,4.64,8000.0,37120.0,4268208808.3343115,5038731543.13,12.369388580322266,13.855208483937554,0.9682120680809021,0.9682120905442608,1.6904754290336308,1.6763643958568286,8.640804150466634,11.223573684692383,-953.4329030180091,-21.820154120423364,5677427599.174312,10.778972583868134,2486342965.6,000055.SZ,2020-11-13
3.3,3.35,3.28,3.34,3942686.0,13069264.0,1227.0,0.9063444108761319,2.114803625377652,3.314812287866698,4.70837,0.43626872067877914,1.1721,3.64,2.98,0.0,3.3,20400.0,67320.0,3405897476.0751805,3922925924.7999997,-101.6702880859375,-51.175167445322344,0.7457060217857361,0.7457060297758686,5.27625773837594,4.133904266968788,8.885188010184823,-66.59446716308594,13.033542951845654,-78.39694770103137,7845189458.07518,16.7278985926795,1123549046.2,000056.SZ,2020-11-13
